Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677280327,0,0,0,21.9165234375,106688,31.439203448637482,996.8999411912424,137.0234484307859
1677280328,0,0,0,21.93859375,11029,31.5829301874513,996.9016687550644,137.00887458171425
1677280330,0,0,0,21.976875,19156,31.540834174853536,996.9111282106466,136.9290743162207
1677280331,0,0,0,22.0161328125,27705,31.37407215371274,996.9064346391038,136.96866935707814
1677280332,0,0,0,22.0520703125,36545,31.201537874181405,996.9049658152359,136.98106040856138
1677280333,0,0,0,22.0821484375,44592,31.017383290534212,996.8954816939669,137.0610691558248
1677280334,0,0,0,22.1067578125,52074,30.81604376850381,996.8944116566439,137.07009610837673
1677280336,0,0,0,22.1286328125,58760,30.61474357868423,996.9045609882255,136.98447554651898
1677280337,0,0,0,22.1471875,65518,30.435964010045772,996.9021647102375,137.00469067300725
1677280338,0,0,0,22.163984375,71381,30.274129936578895,996.902097821354,137.005254951692
1677280339,0,0,1,22.1786328125,77383,30.140394591343075,996.9054633390298,136.9768632781178
1677280340,0,0,1,22.1883984375,82408,29.995144968176014,996.8971871767417,137.04668153176746
1677280342,0,0,1,22.197578125,87671,29.872431175949643,996.8931940115409,137.0803683059395
1677280343,0,0,1,22.2063671875,92005,29.777817879693423,996.8867963486471,137.134339910855
1677280344,0,0,1,22.213984375,93785,29.666362898075544,996.8889658194513,137.11603791149676
1677280345,0,0,1,22.2221875,98125,29.605428738772275,996.8886045221258,137.1190858707254
1677280346,0,0,1,22.230390625,101638,29.555714314175304,996.88648957286,137.1369279225931
1677280348,0,0,1,22.2348828125,104884,29.528096946557593,996.881699282137,137.1773396982284
1677280349,0,0,1,22.237421875,108766,29.472350525106158,996.8824221542656,137.17124140561668
1677280350,1,1,2,22.2415234375,111370,29.433530848144706,996.8822410720112,137.17276905108392
1677280351,0,0,1,22.246796875,114569,29.45074103558339,996.8805052337946,137.1874129346514
1677280352,0,0,1,22.2516796875,117379,29.4903006159645,996.8798719546326,137.19275541135588
1677280354,0,0,1,22.2501171875,120504,29.501363549807095,996.8772691781375,137.2147130122074
1677280355,0,0,1,22.2415234375,122981,29.489469903844707,996.873474193779,137.24672842669412
1677280356,0,0,1,22.23078125,125751,29.427061183599797,996.8748668593901,137.2349795481574
1677280357,0,0,1,22.215546875,128846,29.375496821834552,996.8635158432397,137.33073997213236
1677280358,0,0,1,22.199140625,131270,29.30709633893651,996.8659915389846,137.30985421832966
1677280360,0,0,1,22.180390625,134972,29.23854347472463,996.8610550852816,137.35149974764587
1677280361,0,1,1,22.1516796875,137183,29.135739241789008,996.8570547395691,137.38524808792073
1677280362,0,1,1,22.1169140625,139120,28.999085887557534,996.8587415261817,137.3710177423086
1677280363,0,1,1,22.074140625,141589,28.87307944740273,996.8453284261002,137.4841760739339
1677280364,0,1,1,22.0341015625,144148,28.736301231794446,996.8557457397719,137.3962912999299
1677280365,0,1,1,21.9954296875,145399,28.61090184453727,996.8544110792106,137.4075510078366
1677280367,0,1,1,21.9528515625,147707,28.513086208185246,996.8553240646687,137.39984871135587
1677280368,0,1,1,21.9130078125,149955,28.426669480609043,996.8607854159942,137.3537747702899
