CPM,Time
2,1679700886.5983455
0,1679700896.6085691
3,1679700906.6188226
2,1679700916.6290967
5,1679700926.6394405
2,1679700936.649718
8,1679700946.659982
5,1679700956.6702487
1,1679700966.680554
4,1679700976.6908185
2,1679700986.7010841
5,1679700996.7114043
2,1679701006.7216802
