Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677279054,0,0,0,22.3282421875,122442,29.78226345779926,996.8776430243561,137.21155915958406
1677279055,0,0,0,22.326875,123616,29.78775838544348,996.8701049735438,137.2751520737953
1677279057,0,0,0,22.3253125,123982,29.815671497717283,996.8762704475448,137.2231385377313
1677279058,0,0,0,22.3223828125,123708,29.804212060842886,996.8784050339898,137.2051306741388
1677279059,0,0,0,22.3208203125,125093,29.81530042824955,996.8687881050449,137.28626155138875
1677279060,0,0,0,22.3192578125,125656,29.81517136476982,996.8714463112965,137.2638361788197
1677279061,0,0,0,22.3192578125,126606,29.83199908345035,996.8749534826507,137.2342487729095
1677279063,0,0,0,22.3176953125,125280,29.848699648208395,996.8670901689657,137.30058584113362
1677279064,0,0,0,22.3145703125,126415,29.848441287578645,996.8636386337654,137.32970407135585
1677279065,0,0,0,22.3126171875,127765,29.865111334800726,996.8621390071405,137.34235541592582
1677279066,0,0,0,22.31046875,127280,29.859322932949794,996.8638211753886,137.32816409110154
1677279067,0,0,0,22.3083203125,128846,29.875977970092894,996.8497213152036,137.44711575081578
1677279069,0,0,0,22.3063671875,129244,29.887039261432243,996.8499752412652,137.44497352416266
1677279070,0,0,0,22.3032421875,129244,29.881169135416883,996.8482772355605,137.4592986201819
1677279071,0,0,0,22.300703125,130350,29.87534779765778,996.8475551616015,137.4653903482254
1677279072,0,0,0,22.298359375,130655,29.86954291191899,996.8436513298846,137.49832482192366
1677279073,0,0,0,22.2977734375,131682,29.869494448080214,996.8461824245784,137.47697136098003
1677279075,0,0,0,22.2997265625,132726,29.88087825016739,996.8546962223618,137.40514542993088
1677279076,0,0,0,22.2981640625,132831,29.87513775154332,996.8503401193811,137.44189526025903
1677279077,0,0,0,22.2958203125,132411,29.880555057112886,996.8534503502307,137.41565609319665
1677279078,0,0,0,22.2926953125,132831,29.891519485963947,996.8535057225406,137.41518895056535
1677279079,0,0,0,22.2899609375,133679,29.86884829247406,996.8507046915089,137.43881957871392
1677279080,0,0,0,22.28703125,135628,29.862995374302393,996.85459231603,137.40602202386626
1677279082,0,0,0,22.2844921875,135408,29.85717505986673,996.8573770350355,137.38252908458506
1677279083,0,0,0,22.2833203125,135628,29.840248481028123,996.851918090542,137.42858284820056
1677279084,0,0,0,22.2817578125,135737,29.823291761739107,996.8528224407105,137.42095338686772
1677279085,0,0,0,22.28,136512,29.811929349784833,996.8534014470025,137.41606866012157
1677279086,0,0,0,22.2782421875,137521,29.79496013133865,996.8539804365384,137.41118407703746
1677279088,0,0,0,22.2762890625,137634,29.772370097196866,996.8489736742334,137.45342316588383
1677279089,0,0,0,22.2727734375,138315,29.766473561766137,996.8518850549344,137.4288615499621
1677279090,0,0,0,22.270625,139933,29.75508393929278,996.8570736819701,137.38508828282477
1677279091,0,0,0,22.270234375,139120,29.76065786128466,996.852916111426,137.42016314340123
1677279092,0,0,0,22.2690625,139816,29.76056125305996,996.8544710167774,137.40704535129495
1677279094,0,0,0,22.26515625,139816,29.75463318062148,996.8532246767262,137.4175599640465
1677279095,0,0,0,22.2614453125,140402,29.748721543772255,996.8470433355993,137.46970833578263
