CPM,Time
83,1679699785.4892237
83,1679699795.4993892
77,1679699805.5096266
66,1679699815.519889
68,1679699825.5301502
61,1679699835.5404167
53,1679699845.5507407
59,1679699855.5610015
66,1679699865.5712702
67,1679699875.5815327
39,1679699885.5918152
54,1679699895.6020894
75,1679699905.6123583
