CPM,Time
2,1679701064.7484233
3,1679701074.7587695
4,1679701084.7690463
0,1679701094.7793655
2,1679701104.7896414
5,1679701114.800239
1,1679701124.8105412
2,1679701134.817295
1,1679701144.827586
2,1679701154.8378692
1,1679701164.8481638
2,1679701174.8584766
2,1679701184.8687737
