CPM,Time
13,1679700377.0573123
9,1679700387.0676625
8,1679700397.077927
9,1679700407.0881932
7,1679700417.0984683
14,1679700427.10874
12,1679700437.119005
13,1679700447.1293118
13,1679700457.1396332
10,1679700467.1499016
11,1679700477.1601622
8,1679700487.170427
13,1679700497.1806893
