CPM,Time
17,1679700730.187884
12,1679700740.1981752
8,1679700750.2084703
9,1679700760.218754
4,1679700770.2290273
5,1679700780.2394059
1,1679700790.249682
5,1679700800.2599528
3,1679700810.2702522
7,1679700820.2805326
8,1679700830.280866
5,1679700840.2911549
4,1679700850.3014336
