CPM,Time
3,1679700557.0405037
8,1679700567.0507982
10,1679700577.0610867
14,1679700587.0714517
26,1679700597.0817082
11,1679700607.0919824
5,1679700617.1022575
15,1679700627.112537
18,1679700637.1228077
15,1679700647.1330755
17,1679700657.1434565
13,1679700667.1537206
21,1679700677.163985
